,title,n_enrolled,course_type,institution,instructors,Level,subject,language,subtitles,price,course_length_weeks,min_effort,max_effort
161,Introduction to Marketing,"169,126",Self-paced on your time,University of British Columbia,Darren Dahl-Paul Cubbon,Introductory,Business & Management,English,English,150.0,6,3,5
162,Programming Basics,"215,059",Self-paced on your time,IITBombay,Deepak B. Phatak-Supratik Chakraborty-Nagesh Karmali-Firuza Karmali (Aibara),Introductory,Computer Science,English,English,149.0,9,6,8
163,Probability and Statistics in Data Science using Python,"106,286",Self-paced on your time,"The University of California, San Diego",Alon Orlitsky-Yoav Freund,Advanced,Data Analysis & Statistics,English,English,350.0,10,10,12
164,HTML5 Coding Essentials and Best Practices,"241,287",Self-paced on your time,The World Wide Web Consortium (W3C),Michel Buffa,Intermediate,Computer Science,English,English,199.0,6,6,8
165,First Nights - Beethoven's 9th Symphony and the 19th Century Orchestra,"37,426",Self-paced on your time,Harvard University,Thomas Forrest Kelly,Introductory,Humanities,English,English,49.0,3,3,5
166,Cell Biology: Mitochondria,"64,142",Self-paced on your time,Harvard University,Robert A. Lue,Introductory,Biology & Life Sciences,English,English,99.0,4,2,4
167,"Algorithms: Design and Analysis, Part 1","20,163",Self-paced on your time,Stanford University,Tim Roughgarden,Intermediate,Computer Science,English,English,149.0,6,2,4
168,Introducción al Office 365,"16,470",Self-paced on your time,Universitat Politècnica de Valencia,Jaime Busquets Mataix-Roberto Vivó-Ignacio Despujol Zabala,Introductory,Computer Science,Español,Español,75.0,7,2,3
169,Creative Thinking: Techniques and Tools for Success,"54,787",Self-paced on your time,Imperial College London,Peter Childs,Introductory,Humanities,English,English,49.0,7,2,4
170,Upper-Intermediate English: Business and Technology,"47,451",Self-paced on your time,Universitat Politècnica de Valencia,Prof. Ana Gimeno,Intermediate,Language,English,English,50.0,4,3,5
171,Shakespeare's Hamlet: The Ghost,"38,331",Self-paced on your time,Harvard University,Stephen Greenblatt,Introductory,Humanities,English,English,49.0,4,5,7
172,FlashDiet: Aprende a comer sano,"48,105",Self-paced on your time,Universitat Politècnica de Valencia,Purificación García Segovia-Mª Jesús Pagán Moreno-Cruz Martínez Rosillo-José Miguel Soriano del Castillo,Introductory,Food & Nutrition,Español,Español,50.0,5,2,3
173,CS50's Understanding Technology,"50,030",Self-paced on your time,Harvard University,David J. Malan,Introductory,Computer Science,English,English,90.0,6,2,6
174,Introduction to Aerospace Structures and Materials,"37,126",Self-paced on your time,Delft University of Technology,Jos Sinke-Calvin Rans-Gillian Saunders-Smits-René Alderliesten,Introductory,Engineering,English,English,50.0,8,4,6
175,Visualizing Data with Python,"42,101",Self-paced on your time,IBM,Alex Aklson,Intermediate,Data Analysis & Statistics,English,English,39.0,5,2,4
176,Success: Practical Thinking Skills,"24,414",Self-paced on your time,The Hong Kong Polytechnic University,Jack Chun,Introductory,Philosophy & Ethics,English,English,50.0,4,4,6
177,English for Doing Business in Asia – Speaking,"68,422",Self-paced on your time,The Hong Kong University of Science and Technology,Sean McMinn-Delian Gaskell,Introductory,Humanities,English,English,60.0,7,3,4
178,Nutrition and Health: Macronutrients and Overnutrition,"208,582",Self-paced on your time,Wageningen University & Research,Sander Kersten,Introductory,Biology & Life Sciences,English,English,99.0,9,6,8
179,"Contemporary China: The People's Republic, Taiwan, and Hong Kong","66,771",Self-paced on your time,Harvard University,Peter K. Bol-William C. Kirby,Introductory,History,English,"English, 中文",139.0,15,1,3
180,Introduction to Clinical Psychology,"57,234",Self-paced on your time,The University of Queensland,Blake McKimmie-Nancy Pachana-Vanessa Cobham,Introductory,Humanities,English,English,99.0,7,1,2
181,Modern Masterpieces of World Literature,"48,049",Self-paced on your time,Harvard University,David Damrosch-Martin Puchner,Introductory,Literature,English,English,99.0,8,3,6
182,"Citizen Politics in America: Public Opinion, Elections, Interest Groups, and the Media","24,259",Self-paced on your time,Harvard University,Thomas E. Patterson,Introductory,Social Sciences,English,English,49.0,4,2,4
183,Applied Scrum for Agile Project Management,"55,293",Self-paced on your time,"The University of Maryland, College Park-University System of Maryland",John Johnson,Advanced,Engineering,English,English,199.0,4,2,3
184,Corporate Finance,"62,798",Self-paced on your time,Indian Institute of Management Bangalore,Ashok Thampy,Intermediate,Business & Management,English,"English, हिन्दी",150.0,5,3,5
185,Judaism Through Its Scriptures,"50,540",Self-paced on your time,Harvard University,Shaye Cohen-Matthew Hass,Introductory,Humanities,English,English,99.0,4,5,10
186,Excel avanzado: importación y análisis de datos,"47,184",Self-paced on your time,Universitat Politècnica de Valencia,Ignacio Despujol Zabala-Jaime Busquets Mataix,Advanced,Data Analysis & Statistics,Español,Español,75.0,8,3,4
187,CSS Basics,"95,163",Self-paced on your time,The World Wide Web Consortium (W3C),Kasey Champion,Introductory,Computer Science,English,English,199.0,5,5,7
188,Unlocking Information Security: Part I,"19,905",Self-paced on your time,IsraelX-Tel Aviv University,Avishai Wool-Dan Gittik,Intermediate,Computer Science,English,"اللغة العربية, English, עברית",149.0,6,4,6
189,Becoming an Effective Leader,"55,937",Self-paced on your time,The University of Queensland,Terrance Fitzsimmons,Intermediate,Communication,English,English,99.0,10,8,10
190,Digital Branding and Engagement,"122,977",Self-paced on your time,Curtin University,Sonia Dickinson,Intermediate,Communication,English,English,99.0,4,3,4
191,Introduction to Cybersecurity,"73,021",Self-paced on your time,University of Washington,Barbara Endicott-Popovsky,Introductory,Computer Science,English,English,199.0,6,2,5
192,General Academic English|生活英语进阶,"17,526",Self-paced on your time,Tsinghua University,Fang Yang,Introductory,Language,English,English,49.0,8,3,4
193,Gestión de personas: Recursos Humanos,"19,687",Self-paced on your time,Universidad Nacional de Córdoba,Claudia Martínez,Introductory,Business & Management,Español,"English, Español",119.0,5,5,7
194,From Poverty to Prosperity: Understanding Economic Development,"91,062",Self-paced on your time,University of Oxford,Paul Collier,Intermediate,Social Sciences,English,English,149.0,6,2,3
195,Medical Terminology,"31,354",Self-paced on your time,Doane University,"Amanda McKinney, MD, FACLM",Introductory,Biology & Life Sciences,English,English,79.0,8,5,10
196,Ancient Masterpieces of World Literature,"48,899",Self-paced on your time,Harvard University,David Damrosch-Martin Puchner,Introductory,Literature,English,English,99.0,6,3,6
197,Shakespeare's The Merchant of Venice: Shylock,"23,283",Self-paced on your time,Harvard University,Stephen Greenblatt,Introductory,Humanities,English,English,49.0,4,5,7
198,Gestión del estrés y Mindfulness,"15,965",Self-paced on your time,Universidades Anáhuac,Psic. José Jesús Karam Espósitos,Introductory,Health & Safety,Español,Español,49.0,4,4,5
199,Behavioural Economics in Action,"66,764",Self-paced on your time,University of Toronto,Dilip Soman,Introductory,Business & Management,English,English,139.0,6,4,5
200,Finance for Everyone: Smart Tools for Decision-Making,"45,029",Self-paced on your time,The University of Michigan,Gautam Kaul,Introductory,Business & Management,English,English,49.0,6,5,6
201,Creating Innovative Business Models,"12,227",Self-paced on your time,"University System of Maryland-The University of Maryland, College Park",James Green,Introductory,Business & Management,English,English,149.0,4,2,3
202,u.lab: Leading From the Emerging Future,"79,424",Self-paced on your time,Massachusetts Institute of Technology,Otto Scharmer-Dayna Cunningham-Kelvy Bird-Arawana Hayashi,Introductory,Business & Management,English,"English, Español, Français, עברית, Indonesian, Italiano, 日本語, Português, Türkçe",99.0,14,4,6
203,Electric Cars: Introduction,"56,171",Self-paced on your time,Delft University of Technology,Pavol Bauer-Margot Weijnen-Frank Rieck,Intermediate,Engineering,English,English,50.0,4,4,5
204,Inteligencia Artificial para todos: Domina los fundamentos,"11,764",Self-paced on your time,IBM,Rav Ahuja,Introductory,Computer Science,Español,Español,49.0,4,1,2
205,Marketing Analytics,"55,228",Instructor-led on a course schedule,Columbia University,Kamel Jedidi-Asim Ansari,Advanced,Business & Management,English,English,249.0,12,8,10
206,Introducción a la Regulación Emocional basada en Mindfulness,"20,634",Self-paced on your time,Universidad Autónoma de Madrid,Beatriz Rodríguez Vega-Carmen Bayón Pérez-Ángela Palao Tarrero-Ainoa Muñoz San José,Introductory,Health & Safety,Español,Español,49.0,4,5,6
207,Design Thinking Fundamentals,"56,446",Self-paced on your time,Rochester Institute of Technology,Lorraine Justice-Dan Harel,Intermediate,Business & Management,English,English,299.0,6,8,12
208,Basic Spanish 3: Getting there,"17,569",Self-paced on your time,Universitat Politècnica de Valencia,Prof. Ana Gimeno-Cristina Navarro,Introductory,Language,English,"English, Español",50.0,4,3,4
209,Mi propia huerta orgánica,"11,346",Self-paced on your time,Universidad Nacional de Córdoba,Patricia Gil-Paola Campitelli-Laura Vargas-Leandro Carbelo,Introductory,Biology & Life Sciences,Español,Español,29.0,4,1,2
210,Sustainability in Architecture: An Interdisciplinary Introduction,"31,352",Self-paced on your time,Universitat Politècnica de Valencia,María Valles-Planells-Elena de la Poza-Plaza-Naoko Ellis-Kas Hemmes,Intermediate,Architecture,English,English,50.0,4,3,4
211,Gestión de riesgos en proyectos de desarrollo,"47,676",Self-paced on your time,Inter-American Development Bank,Vanessa Sayos-Santiago Fretes-Allan Quijano,Intermediate,Business & Management,Español,Español,25.0,10,2,3
212,Python Data Structures,"36,369",Self-paced on your time,The University of Michigan,Charles Severance,Introductory,Computer Science,English,English,49.0,7,2,4
213,The Science and Business of Biotechnology,"17,039",Self-paced on your time,Massachusetts Institute of Technology,Andrew W. Lo-Harvey F. Lodish-Zied Ben Chaouch,Intermediate,Business & Management,English,English,49.0,16,10,12
214,Finance Essentials,"63,666",Self-paced on your time,Imperial College Business School-Imperial College London,Robert Kosowski,Introductory,Business & Management,English,English,79.0,6,2,4
215,Introduction to the Internet of Things (IoT),"89,421",Self-paced on your time,Curtin University,Iain Murray AM-Joshua Gilchrist,Introductory,Computer Science,English,English,149.0,6,2,3
216,'Talk to me': Improving mental health and suicide prevention in young adults,"11,481",Self-paced on your time,Curtin University,Ben Milbourn-Craig Thompson-Viktor Kacic-Sonya Girdler,Introductory,Health & Safety,English,English,139.0,6,2,3
217,Disaster Medicine Training,"10,937",Self-paced on your time,Stanford University,Jessica Ngo,Introductory,Medicine,English,English,50.0,8,1,2
218,Nutrition and Health: Human Microbiome,"44,079",Self-paced on your time,Wageningen University & Research,Clara Belzer,Introductory,Health & Safety,English,English,49.0,6,3,5
219,Customer Relationship Management,"53,085",Self-paced on your time,Indian Institute of Management Bangalore,Shainesh G,Intermediate,Business & Management,English,"English, हिन्दी",50.0,6,3,5
220,Islam Through Its Scriptures,"65,430",Self-paced on your time,Harvard University,Ali Asani,Introductory,Humanities,English,English,99.0,4,5,10
221,Mechatronics Revolution: Fundamentals and Core Concepts,"11,619",Self-paced on your time,The Georgia Institute of Technology,Jonathan Rogers,Introductory,Engineering,English,English,149.0,16,6,8
222,Accounting for Decision-Making,"57,710",Self-paced on your time,Indian Institute of Management Bangalore,MS Narasimhan,Intermediate,Business & Management,English,"English, हिन्दी",150.0,7,3,5
223,C Programming: Language Foundations,"46,400",Self-paced on your time,Dartmouth_IMTx-Dartmouth College-IMT,Petra Bonfert-Taylor-Rémi Sharrock,Introductory,Computer Science,English,English,49.0,7,2,4
224,Big Data sin misterios,"65,564",Self-paced on your time,Inter-American Development Bank,Paula Alamán Herbera-Almudena Bonet Medina-Antonio Pita Lozano-Joaquín Melgarejo Ricca,Intermediate,Data Analysis & Statistics,Español,Español,25.0,10,4,5
225,Becoming a Successful Leader (Inclusive Leadership Training),"215,705",Self-paced on your time,Catalyst,Deepali Bagati-​Krista Brookman-Emily Troiano,Introductory,Communication,English,English,49.0,4,1,2
226,"English for Journalists, Part 1","50,847",Self-paced on your time,"University of California, Berkeley",Maggie Sokolik,Intermediate,Communication,English,English,139.0,5,3,4
227,Introduction to Networking,"16,134",Self-paced on your time,New York University,Rafail Portnoy-Aspen Olmsted,Introductory,Computer Science,English,English,150.0,7,3,5
228,Accounting Essentials,"58,463",Self-paced on your time,Imperial College Business School-Imperial College London,Jeremy Fernando,Introductory,Business & Management,English,English,79.0,6,3,5
229,Introduction to Java Programming: Starting to code in Java,"325,554",Self-paced on your time,Universidad Carlos III de Madrid,Carlos Delgado Kloos-Carmen Fernández Panadero-Iria Estévez-Ayres-Jorge Blasco,Introductory,Computer Science,English,"English, Español, Português, 中文",149.0,5,7,10
230,European Paintings: From Leonardo to Rembrandt to Goya,"60,734",Self-paced on your time,Universidad Carlos III de Madrid,Alejandro Vergara,Introductory,Humanities,English,English,99.0,7,2,3
